epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.644,1.05081,2.61913,1.09771,0.00333,1,0.85012,0.63746,0.75421,3.17453,0.90589,0.00042,0.00042,0.00042
2,412.752,0.92919,1.53396,1.00451,1,0.37124,0.82153,0.54871,1.01244,3.13986,1.03593,0.000842972,0.000842972,0.000842972
3,688.207,0.95727,1.37421,0.98716,0.93165,0.77447,0.88608,0.62119,1.11448,2.62784,1.07868,0.00124852,0.00124852,0.00124852
4,951.654,0.95506,1.27739,0.98558,0.67537,0.61364,0.7171,0.48974,1.09157,2.41514,1.15151,0.00163664,0.00163664,0.00163664
5,1241.3,0.91429,1.21159,1.0203,0.60526,0.65909,0.65956,0.44923,1.02824,2.22501,1.11279,0.0018416,0.0018416,0.0018416
6,1495.71,0.97098,1.13336,1.0313,0.91974,0.78135,0.87764,0.63917,0.90483,1.8709,1.00226,0.001802,0.001802,0.001802
7,1633.04,0.8762,0.98234,0.9829,0.96299,0.88636,0.94963,0.72196,0.89243,1.28387,1.02189,0.0017624,0.0017624,0.0017624
8,1779.98,0.88316,0.88867,0.97486,0.98768,0.91104,0.98568,0.75623,0.87394,0.99981,1.01628,0.0017228,0.0017228,0.0017228
9,1916.84,0.85232,0.83252,0.98702,0.89255,0.82955,0.907,0.67205,0.95963,1.29241,1.04735,0.0016832,0.0016832,0.0016832
10,2431.07,0.8112,0.79077,0.97378,0.94003,0.89065,0.96749,0.72428,0.94879,1.08464,0.97701,0.0016436,0.0016436,0.0016436
